time,symbol,assettype,assetmaintype,cusip,assetsubtype,description,bidprice,bidsize,bidid,askprice,asksize,askid,lastprice,lastsize,lastid,openprice,highprice,lowprice,bidtick,closeprice,netchange,totalvolume,quotetimeinlong,tradetimeinlong,mark,exchange,exchangename,marginable,shortable,volatility,digits,nav,peratio,divamount,divyield,divdate,securitystatus,regularmarketlastprice,regularmarketlastsize,regularmarketnetchange,regularmarkettradetimeinlong,netpercentchangeindouble,markchangeindouble,markpercentchangeindouble,regularmarketpercentchangeindouble,delayed,fiftytwowkhigh,fiftytwowklow
2020-07-14 18:45:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,386.52,100,P,386.57,100,Z,386.51,100,D,379.36,387.47,375.51, ,381.91,4.6,31008569,1594752344897,1594752344663,386.52,q,NASD,True,True,0.0194,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,386.51,1,4.6,1594752344663,1.2045,4.61,1.2071,1.2045,False,399.82,192.58
2020-07-14 18:50:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,385.75,100,Q,385.81,100,Z,385.77,100,D,379.36,387.47,375.51, ,381.91,3.86,31438921,1594752644665,1594752644658,385.77,q,NASD,True,True,0.0193,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,385.77,1,3.86,1594752644658,1.0107,3.86,1.0107,1.0107,False,399.82,192.58
2020-07-14 18:55:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,385.28,100,Q,385.35,200,Z,385.32,1000,D,379.36,387.47,375.51, ,381.91,3.41,31688783,1594752945135,1594752945026,385.32,q,NASD,True,True,0.0193,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,385.32,10,3.41,1594752945026,0.8929,3.41,0.8929,0.8929,False,399.82,192.58
2020-07-14 19:00:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,386.29,100,K,386.35,100,N,386.32,100,P,379.36,387.47,375.51, ,381.91,4.41,32091163,1594753244698,1594753244354,386.32,q,NASD,True,True,0.0191,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,386.32,1,4.41,1594753244354,1.1547,4.41,1.1547,1.1547,False,399.82,192.58
2020-07-14 19:10:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,384.32,100,Z,384.37,100,K,384.345,100,D,379.36,387.47,375.51, ,381.91,2.435,33005731,1594753844464,1594753843841,384.345,q,NASD,True,True,0.0189,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,384.345,1,2.435,1594753843841,0.6376,2.435,0.6376,0.6376,False,399.82,192.58
2020-07-14 19:15:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,383.56,200,Z,383.61,200,Z,383.61,100,D,379.36,387.47,375.51, ,381.91,1.7,33278589,1594754144947,1594754143756,383.61,q,NASD,True,True,0.0189,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,383.61,1,1.7,1594754143756,0.4451,1.7,0.4451,0.4451,False,399.82,192.58
2020-07-14 19:20:46,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,384.52,200,Z,384.58,100,Q,384.54,100,P,379.36,387.47,375.51, ,381.91,2.63,33737255,1594754444918,1594754444888,384.54,q,NASD,True,True,0.0187,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,384.54,1,2.63,1594754444888,0.6886,2.63,0.6886,0.6886,False,399.82,192.58
2020-07-14 19:25:46,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,385.45,300,Z,385.47,100,Q,385.46,100,Z,379.36,387.47,375.51, ,381.91,3.55,34244746,1594754745236,1594754745234,385.46,q,NASD,True,True,0.0186,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,385.46,1,3.55,1594754745234,0.9295,3.55,0.9295,0.9295,False,399.82,192.58
2020-07-14 19:30:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,385.31,100,Q,385.38,100,K,385.345,100,V,379.36,387.47,375.51, ,381.91,3.435,34644638,1594755045177,1594755045152,385.345,q,NASD,True,True,0.0186,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,385.345,1,3.435,1594755045152,0.8994,3.435,0.8994,0.8994,False,399.82,192.58
2020-07-14 19:35:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,385.35,100,Q,385.42,100,Q,385.39,100,D,379.36,387.47,375.51, ,381.91,3.48,35070550,1594755344317,1594755344046,385.39,q,NASD,True,True,0.0185,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,385.39,1,3.48,1594755344046,0.9112,3.48,0.9112,0.9112,False,399.82,192.58
2020-07-14 19:55:46,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,388.86,100,A,388.89,100,Q,388.87,100,D,379.36,389.0,375.51, ,381.91,6.96,37782851,1594756544676,1594756544675,388.87,q,NASD,True,True,0.0179,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,388.87,1,6.96,1594756544675,1.8224,6.96,1.8224,1.8224,False,399.82,192.58
2020-07-14 20:05:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,388.03,800,Q,388.22,100,Q,388.07,0,P,379.36,389.02,375.51, ,381.91,6.16,41695251,1594757145119,1594757145460,388.22,q,NASD,True,True,0.0177,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,388.23,18940,6.32,1594756800498,1.6129,6.31,1.6522,1.6548,False,399.82,192.58
2020-07-14 20:10:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,387.8,200,Q,387.9,200,P,387.85,0,K,379.36,389.02,375.51, ,381.91,5.94,41708549,1594757437340,1594757437852,387.9,q,NASD,True,True,0.0177,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,388.23,18940,6.32,1594756800498,1.5553,5.99,1.5684,1.6548,False,399.82,192.58
2020-07-14 20:15:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,387.6,200,P,387.89,500,K,387.86,0,K,379.36,389.02,375.51, ,381.91,5.95,41716345,1594757740250,1594757744920,387.89,q,NASD,True,True,0.0177,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,388.23,18940,6.32,1594756800498,1.558,5.98,1.5658,1.6548,False,399.82,192.58
